,text,book,line,string
0,iliad,20,1,ὡς ὁ μέν παρά ναῦς κορωνίς θωρήσσω
1,iliad,20,2,ἀμφί σύ Πηλεύς υἱός μάχη ἀκόρητος Ἀχαιός
2,iliad,20,3,Τρώς δή αὖθ ἑτέρωθεν ἐπί θρωσμός πεδίον
3,iliad,20,4,Ζεύς δέ θέμις κελεύω θεός ἀγορά δέ καλέω
4,iliad,20,5,κράς ἄπω Ὄλυμπος πολύπτυχος ὁ ἑός ἄρα πάντῃ
5,iliad,20,6,φοιτάω κελεύω Ζεύς πρός δῶμα νέομαι
6,iliad,20,7,οὔτε τις οὖν ποταμός ἄπειμι νόσφος Ὠκεανός
7,iliad,20,8,οὐτ ἄρα νύμφη ὅς τ ἄλσος καλός νέμω
8,iliad,20,9,καί πηγή ποταμός καί πῖσος ποιήεις
9,iliad,20,10,ἔρχομαι δή εἰς δῶμα Ζεύς νεφεληγερέτα
10,iliad,20,11,ξεστός αἴθουσα ἐνιζάνω ὅς Ζεύς πατήρ
11,iliad,20,12,Ἥφαιστος ποιέω οἶδα πραπίδες
12,iliad,20,13,ὡς ὁ μέν Ζεύς ἔνδον ἀγείρω οὐδάω Ἐνοσίχθων
13,iliad,20,14,νηκάω θεά ἄλλα ἐκ ἅλς ἔρχομαι μιμέομαι αὐτός
14,iliad,20,15,ἵζω δή ἄρα ἐν μέσος Ζεύς ἑός ἐξέρομαι βουλή
15,iliad,20,16,τίπτα αὖτ ἀργικέραυνος θεός ἀγορά δέ καλέω
16,iliad,20,17,ἦ τις περί Τρώς καί Ἀχαιός μερμηρίζω
17,iliad,20,18,ὁ γάρ νῦν ἄγχιστος μάχη πόλεμος τε δαίω
18,iliad,20,19,ὁ δή ἀπαμείβομαι πρόσφημι νεφεληγερέτα Ζεύς
19,iliad,20,20,γιγνώσκω Ἐννοσίγαιος ἐμός ἐν στῆθος βουλή
20,iliad,20,21,ὅς ἕνεκα συναγείρω μέλω ἐγώ ὄλλυμι πέρ
21,iliad,20,22,ἀλλά ἤτοι μέν ἐγώ μένω πτύξ Ὄλυμπος
22,iliad,20,23,ἧμαι ἔνθα ὁράω φρήν τέρπω ὁ δέ δή ἄλλος
23,iliad,20,24,ἔρχομαι ὄφρα ἄν ἱκνέομαι μετά Τρώς καί Ἀχαιός
24,iliad,20,25,ἀμφότερος δή ἀρήγω ὅπη νόος εἰμί ἕκαστος
25,iliad,20,26,εἰ γάρ Ἀχιλλεύς οἶος ἐπί Τρώς συμμαχέω
26,iliad,20,27,οὐδέ μίνυνθ ἔχω ποδώκης Πηλείων
27,iliad,20,28,καί δέ τίς μιν καί πρόσθεν ὑποτρομέω ὁράω
28,iliad,20,29,νῦν δι ὅτε δή καί θυμός ἑταῖρος χώομαι αἰνός
29,iliad,20,30,δείδω μή καί τεῖχος ὑπέρμορον ἐξαλαπάζω
